hypernym(00260881,00260622).
derivationally_related_form(15101586,02761685).
hypernym(06158185,06153846).
derivationally_related_form(10512562,01098452).
member_meronym(12834408,12834671).
hypernym(12850718,11579418).
derivationally_related_form(00244625,03087366).
derivationally_related_form(03003928,08703454).
hypernym(00268112,00267522).
hypernym(07825972,07810907).
has_part(09189411,08759420).
derivationally_related_form(03955296,01249490).
hypernym(08081403,08208560).
also_see(01718867,00612114).
derivationally_related_form(01684899,00936620).
hypernym(00820976,01015244).
hypernym(00689729,00671351).
derivationally_related_form(10056103,00164816).
derivationally_related_form(07414922,02248465).
synset_domain_topic_of(00082563,00612160).
hypernym(07803545,07802417).
derivationally_related_form(00634472,05651680).
hypernym(06488880,06481320).
hypernym(00972621,00955060).
also_see(00631391,01878466).
member_meronym(02461014,02461128).
hypernym(06150633,06149484).
hypernym(04764412,04723816).
hypernym(07139151,07172756).
synset_domain_topic_of(14659211,02691156).
derivationally_related_form(02062212,00290276).
hypernym(02469588,01342529).
hypernym(04191150,04521987).
hypernym(00438495,00126264).
synset_domain_topic_of(00613973,06182144).
hypernym(07117472,07115914).
member_meronym(01783571,01783706).
derivationally_related_form(04792357,00051045).
hypernym(11915214,11669921).
hypernym(15165289,15113229).
derivationally_related_form(00939277,06743362).
derivationally_related_form(01182654,02582042).
instance_hypernym(10987358,10043643).
member_meronym(08806897,09716933).
derivationally_related_form(01049266,02158896).
hypernym(00829170,00828990).
hypernym(02423465,01864707).
hypernym(09279458,00002684).
hypernym(06333653,06284225).
derivationally_related_form(00455348,00230276).
has_part(08900535,09303647).
derivationally_related_form(00628491,05786372).
derivationally_related_form(02444662,13994806).
hypernym(11873396,11575425).
hypernym(14720238,14716997).
hypernym(00430140,00747029).
hypernym(12145802,11556857).
synset_domain_topic_of(08656590,08191701).
hypernym(02116980,02116118).
synset_domain_topic_of(05551318,00015388).
hypernym(12508936,11585340).
derivationally_related_form(01769902,01282014).
hypernym(02198332,01759182).
hypernym(01014609,01013367).
hypernym(00595146,00586262).
hypernym(13345286,13344804).
derivationally_related_form(00803394,00246217).
hypernym(13651804,13603305).
derivationally_related_form(04063373,00998399).
hypernym(00509846,00428000).
hypernym(02460483,02649830).
derivationally_related_form(00094460,00041899).
hypernym(03022406,14620895).
hypernym(03599761,04007894).
derivationally_related_form(05768806,01637633).
derivationally_related_form(00594146,00892861).
hypernym(00833199,00831651).
derivationally_related_form(02026785,05115804).
hypernym(14175579,14133159).
derivationally_related_form(01041762,05978623).
derivationally_related_form(10777299,00915830).
derivationally_related_form(10118382,00605310).
hypernym(01532329,01531998).
derivationally_related_form(01158064,01098452).
hypernym(09918248,10373998).
hypernym(15267536,15266911).
hypernym(14493426,14493145).
derivationally_related_form(00946499,00257269).
hypernym(02034300,01907258).
derivationally_related_form(03045074,01456463).
hypernym(02926044,03771443).
hypernym(02038617,01504437).
derivationally_related_form(07121361,00914634).
member_meronym(02121234,02124623).
hypernym(07921615,07921455).
derivationally_related_form(01912893,04545471).
hypernym(10153155,09867956).
hypernym(08236621,08236438).
hypernym(05484573,05329735).
hypernym(09381242,09416076).
derivationally_related_form(14023491,09793495).
derivationally_related_form(00622384,07510495).
derivationally_related_form(02679899,14578940).
derivationally_related_form(00562882,13498828).
derivationally_related_form(00400883,07357679).
hypernym(01107254,01105639).
hypernym(05045208,05044822).
derivationally_related_form(03110322,00002325).
derivationally_related_form(00449692,00395797).
hypernym(05623628,05623181).
hypernym(00303495,00302394).
derivationally_related_form(01778212,04760771).
also_see(00931555,00604617).
derivationally_related_form(00284669,03789603).
hypernym(00338821,00939628).
derivationally_related_form(03285912,01580467).
derivationally_related_form(01589363,13911872).
hypernym(01121855,01120448).
derivationally_related_form(06600684,00780575).
has_part(05301908,05305806).
member_meronym(01610758,01610955).
hypernym(07416441,07296428).
hypernym(00813978,00943563).
derivationally_related_form(01610463,00708017).
hypernym(09726970,09726621).
hypernym(09968845,09774266).
derivationally_related_form(00996102,06428792).
hypernym(01732244,01727646).
hypernym(09989290,10787470).
hypernym(13044149,11592146).
has_part(04105893,04546855).
hypernym(02423589,02423022).
derivationally_related_form(10421470,06055300).
has_part(05681117,05768553).
also_see(01672607,00485711).
hypernym(01239619,01236164).
hypernym(05718935,05718254).
has_part(08913434,08919241).
derivationally_related_form(02677097,13793504).
hypernym(03399047,04161358).
derivationally_related_form(10129825,15147330).
member_meronym(11766609,11769483).
derivationally_related_form(00263231,13894434).
also_see(01725712,01256332).
derivationally_related_form(00024814,00401783).
has_part(11439031,11429968).
derivationally_related_form(02317970,01150467).
derivationally_related_form(00340192,02049696).
hypernym(00900070,00899927).
has_part(15256915,15255641).
hypernym(10426454,10264437).
derivationally_related_form(00200397,10513120).
derivationally_related_form(09773962,00976653).
instance_hypernym(10986437,09765278).
derivationally_related_form(02480923,04811126).
hypernym(04631298,00024264).
hypernym(00318035,00317207).
derivationally_related_form(09887034,00637259).
derivationally_related_form(00040928,03714235).
derivationally_related_form(00588221,00532892).
has_part(04490091,04294614).
hypernym(00772026,00770270).
hypernym(06142412,06142118).
derivationally_related_form(09257949,01207951).
derivationally_related_form(00260648,00266806).
hypernym(10408552,10547145).
hypernym(02431976,02430045).
hypernym(06663940,06652242).
derivationally_related_form(00589624,07538965).
derivationally_related_form(04713428,02657219).
derivationally_related_form(00134099,01414088).
synset_domain_topic_of(11412993,06148148).
member_meronym(01524885,01591490).
derivationally_related_form(07248653,02302817).
member_meronym(12574727,12574866).
derivationally_related_form(09407043,00025654).
derivationally_related_form(00387897,01259005).
hypernym(00651759,00650353).
hypernym(06449735,06544142).
derivationally_related_form(05042871,02523275).
synset_domain_topic_of(07206887,06163751).
hypernym(02475261,00803325).
hypernym(11813830,11573660).
derivationally_related_form(00523436,04951186).
derivationally_related_form(01309991,04880830).
hypernym(14554853,14552802).
verb_group(02609203,02608347).
hypernym(01396170,01388130).
hypernym(04755218,04754862).
has_part(09043052,09330913).
derivationally_related_form(00577068,01525666).
derivationally_related_form(09911570,01037303).
derivationally_related_form(04780605,01627965).
derivationally_related_form(00935940,10029269).
has_part(04039848,04564413).
hypernym(06743362,06738281).
hypernym(06672752,06672297).
has_part(08570758,08571275).
instance_hypernym(11192067,09974648).
member_meronym(11658104,11658331).
derivationally_related_form(08511970,02337699).
derivationally_related_form(02644035,01259034).
member_meronym(02612982,02613181).
hypernym(11838413,11672400).
derivationally_related_form(05943300,02858231).
derivationally_related_form(01245490,15042542).
derivationally_related_form(00678282,01144355).
member_meronym(01566888,01569713).
member_meronym(11700401,11700676).
derivationally_related_form(10434725,01641914).
also_see(01835496,00781000).
derivationally_related_form(00653449,05779116).
hypernym(05284132,05546040).
instance_hypernym(11033358,10020890).
derivationally_related_form(02569130,04890112).
member_meronym(11735822,11735977).
hypernym(02401661,01864707).
synset_domain_topic_of(00461402,08199025).
member_meronym(01785392,01785532).
hypernym(13071029,11592146).
derivationally_related_form(01026975,00798245).
derivationally_related_form(00763399,07177924).
hypernym(09632518,00007846).
hypernym(13194572,11545714).
hypernym(02726305,03546340).
hypernym(09826821,10024119).
derivationally_related_form(00618682,05840188).
has_part(08949093,08951957).
hypernym(09917214,10317007).
hypernym(12495509,11585340).
hypernym(09444100,09239740).
derivationally_related_form(01029114,00860620).
also_see(00503982,00889831).
derivationally_related_form(07527817,01813668).
hypernym(10407552,10770059).
derivationally_related_form(00375071,00236999).
derivationally_related_form(01047937,00168588).
member_meronym(01822423,01825009).
member_of_domain_region(08766988,07491591).
derivationally_related_form(06373747,02526934).
hypernym(12335664,12334891).
derivationally_related_form(00042757,01848718).
derivationally_related_form(02744977,00795785).
derivationally_related_form(02037090,13889602).
hypernym(02562315,02554730).
derivationally_related_form(07543288,01775164).
derivationally_related_form(07143624,00876665).
derivationally_related_form(07295047,00344174).
derivationally_related_form(07335917,00421691).
derivationally_related_form(02747667,00549106).
derivationally_related_form(05698791,00687926).
derivationally_related_form(15152261,01471954).
synset_domain_topic_of(01027662,15253139).
hypernym(00935827,00933821).
hypernym(00734587,00734054).
hypernym(13230662,11545714).
hypernym(03739327,03828465).
hypernym(12739072,11575425).
hypernym(08207672,08207209).
hypernym(10180178,10389398).
hypernym(02367678,01864707).
member_of_domain_usage(07075172,07907037).
hypernym(01922576,01921964).
also_see(02531422,01076793).
member_meronym(09050244,09071690).
derivationally_related_form(08160276,02650840).
hypernym(12868248,11579418).
hypernym(01949330,01939598).
hypernym(06633692,06628861).
instance_hypernym(08849372,08524735).
hypernym(02628647,02627934).
instance_hypernym(08771116,08524735).
hypernym(09977520,10533983).
hypernym(02760658,02760429).
hypernym(04097256,03720163).
derivationally_related_form(01497736,06607339).
derivationally_related_form(10034201,01171183).
verb_group(00583523,00583242).
hypernym(02596067,02594250).
has_part(05467054,05467432).
hypernym(01650509,01626600).
derivationally_related_form(05762258,00634090).
hypernym(00013858,00010435).
hypernym(04981139,04983122).
hypernym(09800964,10372373).
hypernym(03177165,03113152).
derivationally_related_form(00549106,02747667).
derivationally_related_form(02547586,01207609).
hypernym(08541130,08592656).
hypernym(05564590,05566919).
derivationally_related_form(14031523,00406243).
instance_hypernym(09340452,09208496).
has_part(04567222,08590172).
synset_domain_topic_of(08397255,08199025).
instance_hypernym(08965598,08698379).
instance_hypernym(09482131,09411430).
derivationally_related_form(01626138,01014731).
derivationally_related_form(00818466,09614684).
hypernym(02926288,04412901).
hypernym(10703336,00007846).
member_meronym(02267975,02268148).
hypernym(01950502,01950798).
hypernym(08415272,08414119).
hypernym(00522145,00521562).
derivationally_related_form(01697406,10325774).
derivationally_related_form(00744916,04709253).
derivationally_related_form(13464204,00208497).
derivationally_related_form(00597385,05641959).
derivationally_related_form(00390906,00220276).
hypernym(07555647,07555014).
derivationally_related_form(00282050,01992503).
synset_domain_topic_of(08017974,00759694).
hypernym(06883073,06882561).
derivationally_related_form(09623038,08381436).
hypernym(00820721,00817680).
hypernym(10404550,00007846).
derivationally_related_form(01037650,09911570).
hypernym(00654234,00981830).
member_of_domain_region(08860123,13753067).
member_meronym(12715569,12716166).
derivationally_related_form(10495555,02245555).
hypernym(10437852,10266848).
derivationally_related_form(00066191,07014752).
hypernym(01999218,01835496).
hypernym(06156346,06153846).
hypernym(00833870,00831191).
has_part(09209263,08858248).
derivationally_related_form(00507143,07643306).
hypernym(00371955,00212414).
derivationally_related_form(00182269,02902250).
derivationally_related_form(10498816,01076370).
derivationally_related_form(01171644,01146918).
instance_hypernym(09403581,09360122).
derivationally_related_form(02507736,14406573).
derivationally_related_form(05713737,02123672).
instance_hypernym(09421191,09411430).
synset_domain_topic_of(03076411,08199025).
derivationally_related_form(02506361,07520612).
derivationally_related_form(00267041,14577469).
derivationally_related_form(01904293,00442115).
hypernym(01477184,01342529).
member_meronym(13169674,13184492).
synset_domain_topic_of(09546280,15259284).
derivationally_related_form(02012344,10724699).
hypernym(03478589,03764276).
derivationally_related_form(02023107,08307589).
hypernym(09968549,09620078).
derivationally_related_form(01974062,09206985).
has_part(03259505,02821627).
has_part(08792548,08794798).
derivationally_related_form(10334957,01921964).
hypernym(02491383,02490877).
hypernym(00189257,13610162).
member_meronym(02221240,02221414).
also_see(00417413,02422685).
derivationally_related_form(06159473,10065066).
similar_to(02393086,02392878).
hypernym(13955461,13954818).
also_see(01370590,02035337).
member_meronym(02372251,02372397).
synset_domain_topic_of(00399368,06090869).
synset_domain_topic_of(02944327,06054892).
hypernym(01896295,01708676).
hypernym(02148788,02137132).
hypernym(03661340,04453910).
derivationally_related_form(05826291,00664788).
hypernym(00204391,00203866).
hypernym(09808080,10016103).
derivationally_related_form(01229071,03194992).
derivationally_related_form(00003553,01462005).
derivationally_related_form(02269894,00945916).
hypernym(03955296,03997484).
hypernym(02597173,01432517).
hypernym(07546465,07480068).
has_part(15243730,15248020).
hypernym(05062748,04916342).
member_meronym(11845387,11845557).
hypernym(01967373,01970826).
member_meronym(13233012,13239471).
hypernym(00747029,00745005).
hypernym(05653575,05652926).
hypernym(12188635,12188289).
has_part(12911440,07734555).
hypernym(01408153,01405044).
derivationally_related_form(00467717,13617952).
hypernym(12623524,13112664).
instance_hypernym(11077195,09767700).
derivationally_related_form(05821486,02712443).
hypernym(08199025,08208016).
synset_domain_topic_of(05904135,08441203).
instance_hypernym(09100394,08633957).
hypernym(01945845,01942177).
has_part(06277280,06278136).
derivationally_related_form(14561618,00092293).
member_of_domain_usage(07075172,10719395).
derivationally_related_form(00135311,01229976).
derivationally_related_form(10548227,00590518).
hypernym(01822602,01503061).
hypernym(04907575,04907269).
hypernym(00580865,00126264).
derivationally_related_form(01870867,00329031).
hypernym(12334891,12334293).
hypernym(03760671,03709206).
derivationally_related_form(00514871,02446651).
hypernym(11893808,11575425).
hypernym(03319745,04065464).
verb_group(01033527,02629793).
has_part(15279596,15279104).
derivationally_related_form(14449405,02297409).
synset_domain_topic_of(11413263,06090869).
hypernym(10462860,10480253).
instance_hypernym(01309109,00973077).
instance_hypernym(10830456,10423589).
hypernym(00787832,00786195).
hypernym(03839993,04341686).
derivationally_related_form(04728376,02341266).
derivationally_related_form(00878348,00788821).
hypernym(12609638,11555413).
derivationally_related_form(02335828,05112609).
hypernym(01157557,01158190).
derivationally_related_form(01211339,02554922).
derivationally_related_form(04735233,02504131).
hypernym(06844903,06841365).
derivationally_related_form(02991302,02685299).
hypernym(04829282,04828925).
derivationally_related_form(10047459,07508806).
derivationally_related_form(14379829,01925372).
synset_domain_topic_of(01665836,00243918).
hypernym(02489363,02488834).
member_meronym(02368280,02368399).
has_part(13723712,13718451).
synset_domain_topic_of(04404412,06277280).
hypernym(00029378,00023100).
member_meronym(01912272,01913035).
hypernym(10375506,10376523).
also_see(01837744,00021766).
derivationally_related_form(02466496,01068012).
hypernym(00773432,00964694).
derivationally_related_form(04781755,01460421).
member_of_domain_usage(08860123,03904183).
derivationally_related_form(09975425,05638063).
member_meronym(01491991,01492212).
hypernym(13889602,13887509).
derivationally_related_form(01884974,00331655).
derivationally_related_form(00645939,00877345).
hypernym(10011785,10009276).
member_meronym(11719468,11727976).
derivationally_related_form(00192836,04631700).
member_of_domain_region(08860123,07795598).
derivationally_related_form(01202728,07570720).
hypernym(02640093,01429349).
derivationally_related_form(00657728,10140783).
derivationally_related_form(05603160,01201089).
hypernym(14796969,14836127).
synset_domain_topic_of(09899782,08199025).
hypernym(13370448,00032613).
member_of_domain_region(08860123,08230294).
member_meronym(11911591,11973159).
derivationally_related_form(03500557,01319562).
derivationally_related_form(00711550,09615807).
has_part(09041785,09041199).
member_of_domain_usage(06295235,03763727).
derivationally_related_form(00661213,05748786).
also_see(01516534,01352996).
derivationally_related_form(02504131,04735233).
derivationally_related_form(00410247,02712243).
derivationally_related_form(01719302,06893885).
derivationally_related_form(01796346,07520112).
derivationally_related_form(13491464,00063095).
instance_hypernym(09096190,08537837).
derivationally_related_form(07168131,00759657).
has_part(08964099,08964474).
hypernym(02297409,02298160).
hypernym(01101103,01101913).
derivationally_related_form(01693881,01019524).
has_part(09102016,09103217).
member_meronym(02306159,02307007).
derivationally_related_form(10419047,02579447).
derivationally_related_form(00410406,02927512).
derivationally_related_form(10341660,00119873).
hypernym(05220126,05219923).
hypernym(08439955,08208016).
hypernym(12730544,12724942).
has_part(08747054,08847268).
hypernym(04249415,03249569).
derivationally_related_form(02729182,09222051).
instance_hypernym(08851034,08524735).
hypernym(06943771,06943558).
hypernym(05011277,05009170).
has_part(04494204,02984699).
has_part(12288823,07772788).
has_part(05524615,05526175).
hypernym(00733632,00670991).
derivationally_related_form(03147509,00189062).
hypernym(11856389,11573660).
hypernym(13760316,13576355).
derivationally_related_form(02653706,02671421).
hypernym(00770997,00770543).
hypernym(00371487,00371314).
hypernym(15279596,15286249).
derivationally_related_form(00202934,04642258).
hypernym(05204004,05203649).
hypernym(13377268,06481156).
verb_group(00238867,00239614).
hypernym(02123672,02123903).
derivationally_related_form(00445467,13491060).
hypernym(01504480,01090335).
hypernym(08221897,07975026).
member_meronym(12838027,12857024).
derivationally_related_form(00819508,10206173).
instance_hypernym(08721559,08691669).
synset_domain_topic_of(08392137,00759694).
hypernym(02627686,01432517).
derivationally_related_form(01437888,03709644).
hypernym(03560161,03265874).
hypernym(07225696,07224151).
derivationally_related_form(04949066,02230990).
derivationally_related_form(01730799,03024064).
derivationally_related_form(00919424,03429288).
hypernym(04710390,04710127).
hypernym(13261916,13261779).
hypernym(01113473,01111816).
hypernym(11716422,11714853).
also_see(02578235,01781478).
instance_hypernym(08994540,08665504).
hypernym(04834228,04833687).
instance_hypernym(08705397,08698379).
verb_group(02407987,02410855).
member_meronym(09440400,09731571).
synset_domain_topic_of(00055793,08199025).
derivationally_related_form(00570003,13463490).
derivationally_related_form(06876144,01039330).
hypernym(01444520,01429349).
derivationally_related_form(10680153,00604930).
derivationally_related_form(09690371,02625648).
hypernym(12681141,13112664).
hypernym(00101629,00010241).
hypernym(12399132,12651821).
hypernym(13926932,13925752).
derivationally_related_form(01259691,00377169).
derivationally_related_form(01078783,01169744).
has_part(08131530,08396537).
has_part(09209263,09343422).
member_meronym(11875100,11878283).
hypernym(04922787,04922338).
synset_domain_topic_of(08017257,00759694).
hypernym(06024230,06023969).
derivationally_related_form(00510364,04682462).
derivationally_related_form(00870312,00380424).
derivationally_related_form(03724870,01358328).
member_meronym(01389875,01391174).
member_meronym(01716732,01717016).
synset_domain_topic_of(13839662,08441203).
derivationally_related_form(03932203,01656788).
instance_hypernym(10928140,10030277).
instance_hypernym(11251531,10430665).
derivationally_related_form(06759974,02642814).
hypernym(07011387,07010821).
hypernym(12566627,15098161).
member_of_domain_usage(07073447,02527085).
hypernym(00691050,00671351).
member_meronym(12930044,12936999).
derivationally_related_form(02582042,01181902).
hypernym(12712820,11585340).
hypernym(00223250,00665886).
derivationally_related_form(00837288,00756331).
hypernym(12081488,11556857).
hypernym(00531490,00531201).
synset_domain_topic_of(10568200,00475787).
hypernym(15166742,15166462).
has_part(08732116,08733415).
hypernym(01814091,01507175).
derivationally_related_form(02550868,13247554).
derivationally_related_form(05854150,00692329).
hypernym(12485981,13100677).
hypernym(07404114,07406765).
instance_hypernym(09298698,09296121).
has_part(13628056,13627516).
derivationally_related_form(00410406,09738708).
derivationally_related_form(00275253,13475538).
hypernym(11777080,13112664).
member_of_domain_region(08890097,09218641).
has_part(08540903,08537837).
derivationally_related_form(02636921,07237758).
derivationally_related_form(04668139,01476154).
derivationally_related_form(00848466,00751389).
derivationally_related_form(00339085,03141702).
hypernym(02251743,02199590).
derivationally_related_form(10681557,02338975).
derivationally_related_form(11498203,02713852).
hypernym(14480420,14479615).
has_part(00482298,00566298).
hypernym(00950936,00978549).
has_part(08811215,08805801).
hypernym(03100490,03575240).
derivationally_related_form(00941990,10630188).
derivationally_related_form(13467700,00209598).
hypernym(10512708,10677271).
hypernym(12689808,11744859).
derivationally_related_form(04179385,01329239).
derivationally_related_form(01629958,05978623).
derivationally_related_form(01383646,14597758).
member_of_domain_region(08900535,03443543).
hypernym(12274630,12268246).
derivationally_related_form(01229631,10636598).
hypernym(02465145,02478701).
instance_hypernym(11311011,10214637).
member_meronym(11774279,11774513).
hypernym(00768483,00766234).
instance_hypernym(09038597,08557482).
hypernym(01474641,01342529).
derivationally_related_form(00899292,00988287).
also_see(01888295,02076027).
derivationally_related_form(14459422,10415230).
has_part(09052835,09126305).
has_part(05311054,05340599).
instance_hypernym(08493493,08574314).
hypernym(09700492,09634494).
derivationally_related_form(01359432,02861509).
member_of_domain_usage(08860123,07674749).
hypernym(02399331,02391803).
member_of_domain_region(08860123,08349548).
derivationally_related_form(00060833,00692349).
hypernym(07281219,07037465).
derivationally_related_form(01531265,06855207).
hypernym(02280223,01759182).
hypernym(02325968,02238085).
hypernym(10162194,00007846).
derivationally_related_form(14445749,01815185).
derivationally_related_form(02547225,04873939).
has_part(09112282,09264425).
hypernym(05320899,05299178).
derivationally_related_form(00050693,02625016).
hypernym(01300655,01301051).
derivationally_related_form(14549937,01917244).
also_see(02180797,02461723).
synset_domain_topic_of(01719302,06157326).
hypernym(10618685,10740868).
hypernym(13601596,13583724).
derivationally_related_form(07186148,00793580).
hypernym(12122245,12131550).
hypernym(01377092,01355326).
hypernym(02549847,02549581).
has_part(09275473,09031653).
hypernym(02989893,02996840).
instance_hypernym(02688895,08337324).
hypernym(01569181,01323958).
member_meronym(02615494,02615829).
derivationally_related_form(00933821,07214267).
hypernym(11940349,11940006).
synset_domain_topic_of(08426816,08199025).
also_see(02495922,01195536).
hypernym(00143914,00142191).
hypernym(14803074,14802450).
hypernym(06172294,06153846).
derivationally_related_form(00803325,06691083).
derivationally_related_form(00708017,01610463).
derivationally_related_form(05036394,00227165).
derivationally_related_form(00889490,01385017).
member_meronym(01354869,01356086).
member_meronym(02654890,02655020).
derivationally_related_form(05701363,00341285).
hypernym(11894558,13085113).
hypernym(13616054,13604275).
synset_domain_topic_of(01002740,06613686).
hypernym(02025550,01835496).
derivationally_related_form(09908508,00590269).
hypernym(09437098,09334396).
derivationally_related_form(01229976,00334935).
derivationally_related_form(00072808,00712389).
derivationally_related_form(13962360,02616713).
derivationally_related_form(02561995,09767197).
hypernym(15158997,15158816).
instance_hypernym(11331300,10088390).
hypernym(02837416,03516011).
hypernym(05124928,05124057).
member_of_domain_usage(06295235,04434932).
member_meronym(13169219,13192025).
hypernym(13030157,11590783).
hypernym(03350011,03431243).
hypernym(10053439,10053004).
member_meronym(12606907,12607896).
derivationally_related_form(14828683,01233387).
hypernym(00334174,00331950).
derivationally_related_form(00944548,07144190).
hypernym(02033137,01907258).
hypernym(10614363,00007846).
member_of_domain_usage(07075172,01172598).
derivationally_related_form(00156390,01643657).
also_see(02207206,02323286).
hypernym(02282082,02282506).
derivationally_related_form(02377938,08236621).
hypernym(02359915,02355227).
derivationally_related_form(02644622,00231567).
hypernym(10017422,10053808).
derivationally_related_form(00689950,06207199).
hypernym(02376791,02376542).
hypernym(14656666,14625458).
derivationally_related_form(00812274,01216004).
hypernym(01829869,01825930).
hypernym(10562283,10276045).
derivationally_related_form(00151689,00351638).
derivationally_related_form(10680153,02405390).
member_meronym(11911591,11945228).
member_meronym(12169776,12188120).
derivationally_related_form(02482425,10338707).
derivationally_related_form(06780309,00849939).
derivationally_related_form(00583990,04879092).
hypernym(01273016,01531742).
hypernym(01323599,00015388).
has_part(12578626,12578916).
derivationally_related_form(00925110,04757522).
has_part(00470966,00471277).
hypernym(05395548,05395286).
hypernym(09307300,09385911).
hypernym(09721244,09686536).
also_see(00996448,00075515).
has_part(08639058,08639776).
hypernym(06687178,06686736).
hypernym(00100044,00099721).
derivationally_related_form(01362736,00609236).
derivationally_related_form(01765392,13971561).
instance_hypernym(08789605,08524735).
derivationally_related_form(00753472,00932798).
hypernym(00825776,00941990).
member_meronym(01998599,01998741).
hypernym(05304932,05267548).
member_meronym(11860801,11861021).
hypernym(12433178,12432808).
has_part(06663617,06655388).
derivationally_related_form(02048891,13878112).
hypernym(06176322,06174404).
derivationally_related_form(14010927,01861403).
derivationally_related_form(00800421,10084635).
verb_group(02056971,01930482).
hypernym(09880741,10707804).
hypernym(01428155,01342529).
member_meronym(12006081,12006306).
hypernym(05303402,05225602).
hypernym(02788148,02796623).
hypernym(01881717,01864707).
hypernym(06542830,06542047).
derivationally_related_form(01914947,07460104).
derivationally_related_form(03432129,00551065).
hypernym(02417070,02416519).
member_meronym(02612393,02616572).
hypernym(06803636,06791372).
instance_hypernym(08780881,08698126).
hypernym(03879854,04074482).
derivationally_related_form(14043882,01569181).
instance_hypernym(10893606,10450303).
derivationally_related_form(04953954,02763283).
derivationally_related_form(00203866,14422488).
hypernym(04820908,04820258).
hypernym(06787835,06304059).
derivationally_related_form(04476116,01454810).
derivationally_related_form(07341038,01878063).
derivationally_related_form(00948071,00634586).
derivationally_related_form(00408852,08375369).
member_meronym(09439433,09322454).
derivationally_related_form(07027180,01163083).
has_part(06624161,06764623).
derivationally_related_form(00286928,14986004).
hypernym(07484265,00026192).
hypernym(00873469,00872886).
member_meronym(12734446,12734722).
hypernym(05186306,05187446).
hypernym(02515713,02515214).
member_meronym(12838027,12846546).
hypernym(13194328,13167078).
hypernym(06615927,06613686).
derivationally_related_form(10485440,02554066).
hypernym(01461328,01462005).
member_of_domain_region(08957381,07808904).
hypernym(02377480,02374451).
has_part(05481095,05465868).
has_part(08858942,08890097).
hypernym(06644393,06798750).
hypernym(00106272,00104539).
derivationally_related_form(02464342,10608385).
member_meronym(01652850,01653026).
has_part(06498569,06838652).
hypernym(01043333,08457976).
member_meronym(12792041,12796617).
derivationally_related_form(07505047,01822936).
has_part(05999540,05999797).
member_meronym(11536778,11538935).
hypernym(04859177,04858785).
has_part(08853741,08711655).
hypernym(00101956,00006238).
hypernym(07962991,07961480).
hypernym(08276342,08053576).
hypernym(08210982,08208016).
hypernym(02082056,01886756).
instance_hypernym(11127996,10453533).
has_part(08844557,08842819).
hypernym(02571251,02566528).
has_part(11780930,11781176).
hypernym(15246853,15122231).
